Date,Open,High,Low,Close,Volume
2017/04/03 22:30:00,2352,2352.25,2352,2352.25,68
2017/04/03 22:31:00,2352,2352.25,2352,2352.25,5
2017/04/03 22:32:00,2352,2352.25,2352,2352.25,164
2017/04/03 22:33:00,2352.25,2352.25,2352,2352.25,81
2017/04/03 22:34:00,2352,2352.25,2352,2352,202
2017/04/03 22:35:00,2352.25,2352.25,2352.25,2352.25,51
2017/04/03 22:36:00,2352.25,2352.25,2352.25,2352.25,22
2017/04/03 22:37:00,2352.5,2352.5,2352.5,2352.5,2
2017/04/03 22:38:00,2352.5,2352.5,2352.5,2352.5,11
2017/04/03 22:39:00,2352.25,2352.5,2352.25,2352.25,15
2017/04/03 22:40:00,2352.5,2352.5,2352.5,2352.5,8
2017/04/03 22:41:00,2352.25,2352.5,2352.25,2352.25,11
2017/04/03 22:42:00,2352.25,2352.5,2352,2352,189
2017/04/03 22:43:00,2352,2352,2352,2352,140
2017/04/03 22:44:00,2352.25,2352.5,2352.25,2352.5,175
2017/04/03 22:45:00,2352.5,2352.5,2352.5,2352.5,5
2017/04/03 22:46:00,2352.5,2352.5,2352.25,2352.5,5
2017/04/03 22:47:00,2352.5,2352.5,2352.25,2352.25,2
2017/04/03 22:48:00,2352.25,2352.25,2352.25,2352.25,2
2017/04/03 22:49:00,2352.5,2352.5,2352.5,2352.5,2
2017/04/03 22:50:00,2352.5,2352.5,2352.25,2352.25,10
2017/04/03 22:51:00,2352.5,2352.5,2352.25,2352.5,21
2017/04/03 22:52:00,2352.5,2352.5,2352.25,2352.5,5
2017/04/03 22:53:00,2352.5,2352.5,2352.25,2352.25,8
2017/04/03 22:54:00,2352.5,2352.5,2352.5,2352.5,109
2017/04/03 22:55:00,2352.25,2352.25,2352.25,2352.25,48
2017/04/03 22:56:00,2352.25,2352.25,2352.25,2352.25,71
2017/04/03 22:57:00,2352.25,2352.25,2352.25,2352.25,2
2017/04/03 22:58:00,2352.5,2352.5,2352.25,2352.25,187
2017/04/03 22:59:00,2352.5,2352.5,2352.5,2352.5,4
2017/04/03 23:00:00,2352.5,2352.75,2352.5,2352.75,331
2017/04/03 23:01:00,2352.75,2352.75,2352.5,2352.75,19
2017/04/03 23:02:00,2352.75,2352.75,2352.5,2352.75,14
2017/04/03 23:03:00,2352.5,2352.75,2352.5,2352.75,11
2017/04/03 23:04:00,2352.5,2352.75,2352.5,2352.75,6
2017/04/03 23:05:00,2352.75,2352.75,2352.5,2352.5,104
2017/04/03 23:06:00,2352.25,2352.5,2352.25,2352.5,16
2017/04/03 23:07:00,2352.5,2352.5,2352.5,2352.5,4
2017/04/03 23:08:00,2352.25,2352.25,2352.25,2352.25,128
2017/04/03 23:09:00,2352.25,2352.25,2352.25,2352.25,80
2017/04/03 23:10:00,2352.25,2352.25,2352,2352,14
2017/04/03 23:11:00,2352,2352.25,2352,2352,12
2017/04/03 23:12:00,2352.25,2352.25,2352,2352,460
2017/04/03 23:13:00,2352,2352,2351.5,2351.5,211
2017/04/03 23:14:00,2351.5,2351.75,2351.5,2351.75,99
2017/04/03 23:15:00,2352,2352,2351.75,2352,149
2017/04/03 23:16:00,2352,2352,2351.75,2352,81
2017/04/03 23:17:00,2351.75,2351.75,2351.5,2351.5,50
2017/04/03 23:18:00,2351.5,2351.75,2351.5,2351.75,77
2017/04/03 23:19:00,2351.5,2351.5,2351.5,2351.5,1
2017/04/03 23:20:00,2351.5,2352,2351.5,2352,50
2017/04/03 23:21:00,2351.75,2351.75,2351.75,2351.75,91
2017/04/03 23:22:00,2351.75,2352,2351.75,2351.75,197
2017/04/03 23:23:00,2351.75,2351.75,2351.75,2351.75,2
2017/04/03 23:24:00,2351.75,2351.75,2351.75,2351.75,1
2017/04/03 23:25:00,2352,2352,2351.75,2351.75,5
2017/04/03 23:26:00,2351.75,2352,2351.75,2352,4
2017/04/03 23:27:00,2352,2352,2351.75,2351.75,3
2017/04/03 23:28:00,2352,2352,2351.75,2351.75,16
2017/04/03 23:29:00,2352,2352,2351.75,2351.75,14
2017/04/03 23:30:00,2351.75,2352,2351.75,2352,4
2017/04/03 23:31:00,2352,2352,2352,2352,5
2017/04/03 23:32:00,2351.75,2351.75,2351.75,2351.75,8
2017/04/03 23:33:00,2351.75,2352,2351.75,2351.75,64
2017/04/03 23:34:00,2351.5,2351.5,2351.5,2351.5,26
2017/04/03 23:35:00,2351.5,2351.75,2351.5,2351.75,17
2017/04/03 23:36:00,2351.5,2351.75,2351.5,2351.75,190
2017/04/03 23:37:00,2351.5,2351.75,2351.5,2351.5,20
2017/04/03 23:38:00,2351.5,2351.75,2351,2351,373
2017/04/03 23:39:00,2351,2351.25,2351,2351,363
2017/04/03 23:40:00,2351,2351,2350.75,2351,144
2017/04/03 23:41:00,2351,2351.25,2350.75,2350.75,67
2017/04/03 23:42:00,2351,2351,2350.75,2351,148
2017/04/03 23:43:00,2351,2351.25,2351,2351,75
2017/04/03 23:44:00,2350.75,2351,2350.5,2350.75,245
2017/04/03 23:45:00,2350.75,2350.75,2350.5,2350.75,162
2017/04/03 23:46:00,2350.75,2351,2350.5,2351,142
2017/04/03 23:47:00,2351,2351.25,2351,2351.25,224
2017/04/03 23:48:00,2351.25,2351.25,2351,2351.25,29
2017/04/03 23:49:00,2351.25,2351.25,2351.25,2351.25,108
2017/04/03 23:50:00,2351.25,2351.75,2351.25,2351.75,448
2017/04/03 23:51:00,2351.75,2352,2351.75,2352,194
2017/04/03 23:52:00,2352,2352,2351.75,2351.75,23
2017/04/03 23:53:00,2352,2352,2352,2352,4
2017/04/03 23:54:00,2352,2352.75,2352,2352.5,412
2017/04/03 23:55:00,2352.25,2352.25,2352,2352.25,153
2017/04/03 23:56:00,2352.25,2352.25,2352,2352,62
2017/04/03 23:57:00,2352.25,2352.25,2351.75,2351.75,114
2017/04/03 23:58:00,2351.75,2352,2351.75,2351.75,42
2017/04/03 23:59:00,2351.75,2352,2351.75,2352,59
2017/04/04 00:01:00,2352,2352.25,2352,2352.25,90
2017/04/04 00:02:00,2352.25,2352.75,2352.25,2352.5,207
2017/04/04 00:03:00,2352.5,2352.75,2352.5,2352.75,7
2017/04/04 00:04:00,2352.75,2352.75,2352.25,2352.25,252
2017/04/04 00:06:00,2352.5,2352.5,2352.5,2352.5,44
2017/04/04 00:07:00,2352.75,2352.75,2352.5,2352.5,16
2017/04/04 00:08:00,2352.5,2352.5,2352.5,2352.5,36
2017/04/04 00:09:00,2352.5,2352.5,2352.5,2352.5,44
2017/04/04 00:10:00,2352.5,2352.75,2352.5,2352.5,38
2017/04/04 00:11:00,2352.25,2352.5,2352.25,2352.5,3
2017/04/04 00:12:00,2352.5,2352.5,2352.5,2352.5,1
2017/04/04 00:14:00,2352.5,2352.75,2352.5,2352.75,55
2017/04/04 00:15:00,2352.5,2352.5,2352.5,2352.5,60
2017/04/04 00:16:00,2352.5,2352.5,2352.25,2352.25,5
2017/04/04 00:17:00,2352.25,2352.25,2351.75,2352,333
2017/04/04 00:18:00,2352.25,2352.25,2351.75,2351.75,73
2017/04/04 00:19:00,2352,2352,2352,2352,3
2017/04/04 00:20:00,2352,2352,2351.75,2351.75,49
2017/04/04 00:21:00,2351.5,2352,2351.5,2352,133
2017/04/04 00:22:00,2351.75,2352.25,2351.75,2352.25,59
2017/04/04 00:23:00,2352,2352.25,2352,2352.25,7
2017/04/04 00:24:00,2352,2352.25,2352,2352.25,2
2017/04/04 00:25:00,2352.25,2352.25,2352.25,2352.25,2
2017/04/04 00:26:00,2352.25,2352.25,2352.25,2352.25,96
2017/04/04 00:27:00,2352.25,2352.25,2352.25,2352.25,4
2017/04/04 00:28:00,2352.25,2352.25,2352,2352,71
2017/04/04 00:29:00,2352,2352,2352,2352,1
2017/04/04 00:30:00,2352,2352,2351.75,2351.75,4
2017/04/04 00:31:00,2351.75,2351.75,2351.5,2351.5,205
2017/04/04 00:32:00,2351.5,2351.5,2351.25,2351.25,58
2017/04/04 00:33:00,2351.25,2351.5,2351.25,2351.5,34
2017/04/04 00:34:00,2351.25,2351.25,2351.25,2351.25,102
2017/04/04 00:35:00,2351.25,2351.25,2351,2351.25,422
2017/04/04 00:36:00,2351.5,2351.5,2351.5,2351.5,1
2017/04/04 00:37:00,2351.5,2351.75,2351.5,2351.75,347
2017/04/04 00:38:00,2351.75,2351.75,2351.25,2351.25,182
2017/04/04 00:39:00,2351.25,2351.25,2351.25,2351.25,69
2017/04/04 00:40:00,2351.25,2351.25,2351.25,2351.25,40
2017/04/04 00:42:00,2351.5,2351.5,2351.5,2351.5,4
2017/04/04 00:43:00,2351.5,2351.5,2351,2351.25,63
2017/04/04 00:44:00,2351.25,2351.25,2351.25,2351.25,2
2017/04/04 00:45:00,2351,2351,2350.75,2350.75,334
2017/04/04 00:46:00,2350.75,2351,2350.75,2351,162
2017/04/04 00:47:00,2351,2351,2350.75,2350.75,241
2017/04/04 00:48:00,2351,2351.25,2351,2351.25,133
2017/04/04 00:49:00,2351.25,2351.25,2351,2351,253
2017/04/04 00:50:00,2351,2351.25,2351,2351.25,25
2017/04/04 00:51:00,2351.5,2351.5,2351.25,2351.25,66
2017/04/04 00:52:00,2351.5,2351.75,2351.25,2351.25,240
2017/04/04 00:53:00,2351.5,2351.75,2351.25,2351.75,105
2017/04/04 00:54:00,2351.75,2352,2351.75,2351.75,51
2017/04/04 00:55:00,2351.75,2352,2351.75,2352,38
2017/04/04 00:56:00,2352,2352,2351.5,2351.5,120
2017/04/04 00:57:00,2351.75,2351.75,2351.5,2351.5,179
2017/04/04 00:58:00,2351.75,2351.75,2351.5,2351.5,174
2017/04/04 00:59:00,2351.75,2351.75,2351,2351.25,430
2017/04/04 01:00:00,2351.25,2351.5,2350.25,2350.5,948
2017/04/04 01:01:00,2350.75,2350.75,2350.5,2350.5,144
2017/04/04 01:02:00,2350.5,2350.75,2350.5,2350.5,62
2017/04/04 01:03:00,2350.75,2350.75,2350.5,2350.5,294
2017/04/04 01:04:00,2350.5,2351,2350.5,2350.75,218
